ts,cpu_percent,ram_mb
2025-11-03T19:10:21,0.0,289.8
2025-11-03T19:10:22,60.7,297.2
2025-11-03T19:10:23,60.8,297.2
2025-11-03T19:10:24,54.8,297.3
2025-11-03T19:10:25,62.9,297.3
2025-11-03T19:10:26,54.7,297.3
2025-11-03T19:10:27,56.2,297.3
2025-11-03T19:10:28,53.2,297.3
2025-11-03T19:10:29,60.3,297.4
2025-11-03T19:10:30,55.0,297.4
2025-11-03T19:10:31,57.1,297.4
2025-11-03T19:10:32,53.0,297.4
2025-11-03T19:10:33,56.2,297.5
2025-11-03T19:10:34,53.3,297.5
2025-11-03T19:10:35,53.7,297.5
2025-11-03T19:10:36,56.2,297.6
2025-11-03T19:10:37,62.8,297.6
2025-11-03T19:10:38,58.5,297.6
2025-11-03T19:10:39,55.6,297.6
2025-11-03T19:10:40,54.6,297.6
2025-11-03T19:10:41,53.9,297.6
2025-11-03T19:10:42,54.1,297.7
2025-11-03T19:10:43,53.6,297.7
2025-11-03T19:10:44,52.6,297.7
2025-11-03T19:10:45,53.7,297.7
2025-11-03T19:10:46,53.6,297.7
2025-11-03T19:10:47,53.1,297.8
2025-11-03T19:10:48,55.0,297.8
2025-11-03T19:10:49,64.1,297.8
2025-11-03T19:10:50,57.3,297.8
2025-11-03T19:10:51,56.3,297.9
2025-11-03T19:10:52,60.6,298.0
2025-11-03T19:10:53,57.4,298.0
2025-11-03T19:10:54,61.0,298.0
2025-11-03T19:10:55,69.3,298.0
2025-11-03T19:10:56,59.9,298.1
2025-11-03T19:10:57,64.9,298.1
