gen,fitness,scoreA,scoreB
0,55.0,5.0,60.0
1,57.0,3.0,60.0
2,55.0,5.0,60.0
3,57.0,3.0,60.0
4,55.0,5.0,60.0
5,55.0,5.0,60.0
6,56.0,4.0,60.0
7,57.0,3.0,60.0
8,57.0,3.0,60.0
9,57.0,3.0,60.0
10,57.0,3.0,60.0
11,57.0,3.0,60.0
12,56.0,4.0,60.0
13,56.0,4.0,60.0
14,56.0,4.0,60.0
15,55.0,5.0,60.0
16,57.0,3.0,60.0
17,56.0,4.0,60.0
18,56.0,4.0,60.0
19,57.0,3.0,60.0
20,55.0,5.0,60.0
21,54.0,6.0,60.0
22,57.0,3.0,60.0
23,53.0,7.0,60.0
24,54.0,4.0,58.0
25,56.0,4.0,60.0
26,57.0,3.0,60.0
27,55.0,5.0,60.0
28,57.0,3.0,60.0
29,57.0,3.0,60.0
30,56.0,4.0,60.0
31,56.0,4.0,60.0
32,55.0,5.0,60.0
33,57.0,3.0,60.0
34,53.0,7.0,60.0
35,56.0,3.0,59.0
36,53.0,5.0,58.0
37,56.0,4.0,60.0
38,56.0,4.0,60.0
39,56.0,4.0,60.0
40,55.0,5.0,60.0
41,57.0,3.0,60.0
42,57.0,3.0,60.0
43,56.0,3.0,59.0
44,57.0,3.0,60.0
45,56.0,4.0,60.0
46,56.0,4.0,60.0
47,57.0,3.0,60.0
48,56.0,4.0,60.0
49,57.0,3.0,60.0
50,57.0,3.0,60.0
51,55.0,5.0,60.0
52,56.0,4.0,60.0
53,55.0,5.0,60.0
54,57.0,3.0,60.0
55,57.0,3.0,60.0
56,57.0,3.0,60.0
57,56.0,4.0,60.0
58,57.0,3.0,60.0
59,56.0,4.0,60.0
60,55.0,5.0,60.0
61,56.0,4.0,60.0
62,57.0,3.0,60.0
63,56.0,4.0,60.0
64,55.0,3.0,58.0
65,57.0,3.0,60.0
66,56.0,4.0,60.0
67,54.0,6.0,60.0
68,56.0,4.0,60.0
69,57.0,3.0,60.0
70,55.0,5.0,60.0
71,57.0,3.0,60.0
72,56.0,4.0,60.0
73,55.0,5.0,60.0
74,57.0,3.0,60.0
75,57.0,3.0,60.0
76,55.0,5.0,60.0
77,56.0,3.0,59.0
78,57.0,3.0,60.0
79,57.0,3.0,60.0
