ts,cpu_percent,ram_mb
2025-11-03T19:11:10,0.0,289.9
2025-11-03T19:11:11,38.4,296.9
2025-11-03T19:11:12,22.4,297.0
2025-11-03T19:11:13,36.5,297.0
2025-11-03T19:11:14,41.0,297.0
2025-11-03T19:11:15,21.6,297.1
2025-11-03T19:11:16,30.8,297.1
2025-11-03T19:11:17,23.3,297.1
2025-11-03T19:11:18,28.2,297.1
2025-11-03T19:11:19,34.1,297.2
2025-11-03T19:11:20,33.9,297.2
2025-11-03T19:11:21,31.5,297.2
2025-11-03T19:11:22,23.0,297.2
2025-11-03T19:11:23,29.8,297.2
2025-11-03T19:11:24,34.7,297.2
2025-11-03T19:11:25,20.1,297.3
2025-11-03T19:11:26,34.5,297.3
2025-11-03T19:11:27,22.7,297.3
2025-11-03T19:11:28,29.5,297.3
2025-11-03T19:11:29,25.6,297.3
2025-11-03T19:11:30,24.7,297.4
2025-11-03T19:11:31,29.2,297.4
2025-11-03T19:11:32,22.1,297.4
2025-11-03T19:11:33,30.9,297.4
2025-11-03T19:11:34,22.7,297.4
2025-11-03T19:11:35,26.6,297.4
2025-11-03T19:11:36,25.6,297.5
2025-11-03T19:11:37,21.3,297.5
2025-11-03T19:11:39,30.3,297.5
2025-11-03T19:11:40,20.4,297.6
2025-11-03T19:11:41,32.2,297.6
2025-11-03T19:11:42,20.6,297.6
2025-11-03T19:11:43,30.9,297.6
2025-11-03T19:11:44,23.3,297.6
2025-11-03T19:11:45,26.2,297.6
